day_of_week,driver_age,driver_sex,educational_level,driving_experience,vehicle_type,vehicle_owner,service_year,accident_area,lanes,road_allignment,junction_type,surface_type,road_surface_conditions,light_condition,weather_condition,collision_type,vehicles_involved,casualties,vehicle_movement,casualty_class,casualty_sex,casualty_age,casualty_severity,pedestrian_movement,accident_cause,hour,minute
2,1,2,5,3,11,1,6,7,5,6,2,1,4,4,5,3,2,1,3,1,2,1,2,6,4,8,59
5,2,1,5,3,4,4,6,8,3,6,8,1,1,4,3,3,2,1,4,2,1,2,3,6,8,5,2
2,3,2,5,4,1,4,6,2,7,6,8,1,1,4,3,3,1,1,4,4,3,6,4,6,2,17,1
1,5,2,5,1,1,4,4,7,7,6,8,1,4,4,5,9,2,3,3,4,3,6,4,6,11,20,30
5,3,2,5,5,1,4,2,7,5,8,2,1,4,4,3,9,2,1,3,4,3,6,4,6,11,8,19
1,5,2,5,3,1,4,6,5,5,6,4,1,1,4,3,9,1,1,3,4,3,6,4,6,17,9,31
6,2,2,5,2,1,4,6,8,3,6,8,1,1,4,3,9,1,1,3,3,2,4,3,7,12,17,41
1,1,2,5,2,5,4,2,8,5,6,2,1,1,1,3,9,2,1,3,2,1,1,3,6,11,23,6
4,2,2,5,4,1,2,6,8,1,6,8,1,1,4,8,9,2,1,8,2,1,4,3,6,4,11,21
1,2,2,2,3,5,4,2,11,5,2,2,1,1,4,3,9,3,1,5,4,3,6,4,6,2,15,31
7,3,2,5,4,8,4,6,7,3,6,3,1,4,4,5,2,2,2,3,2,2,5,3,6,1,15,54
7,1,1,2,4,1,1,6,8,4,6,4,1,1,4,3,9,3,2,3,4,3,6,4,6,4,12,35
1,5,1,5,2,6,1,6,10,3,6,2,1,1,3,3,9,1,2,4,2,1,2,3,6,13,4,21
1,5,1,2,3,6,1,6,8,3,6,8,1,1,1,3,9,2,1,6,1,2,1,3,6,11,23,1
3,2,2,5,2,8,4,6,8,5,6,4,1,1,4,3,9,3,1,5,1,2,3,3,6,1,15,18
6,5,1,5,3,6,4,2,10,1,6,8,1,1,1,3,9,1,1,3,2,2,1,3,6,11,24,22
1,2,2,5,3,1,4,3,7,3,6,1,1,4,4,5,3,2,2,10,2,1,1,3,6,10,18,47
7,2,2,2,2,8,4,6,8,3,6,8,1,4,1,3,9,2,1,3,3,1,1,3,6,10,18,56
2,2,2,5,2,1,4,3,5,5,6,1,1,4,3,3,9,2,3,3,2,1,4,3,6,4,20,41
5,2,2,5,2,9,2,4,4,3,6,1,1,4,4,3,9,2,2,3,4,3,6,4,6,14,10,11
1,1,2,5,2,8,1,6,10,7,6,1,1,1,1,3,9,2,1,3,1,1,3,3,6,5,1,2
3,1,2,5,2,11,4,6,10,1,6,2,1,1,1,3,3,1,4,4,4,3,6,4,6,3,2,19
4,1,2,5,3,1,4,6,8,2,6,8,1,1,1,3,9,2,2,3,1,2,1,3,6,11,2,7
2,4,2,5,3,1,4,6,7,5,6,8,1,4,1,5,9,2,1,3,3,2,2,3,2,1,20,18
2,3,2,6,4,15,4,4,8,7,6,4,1,1,4,3,3,2,2,3,4,3,6,4,6,1,19,36
6,3,2,5,3,6,4,6,7,3,6,1,1,1,4,3,3,1,1,3,1,2,1,3,6,10,8,31
7,1,2,5,3,1,4,3,3,7,6,8,1,1,4,3,9,2,2,3,1,1,1,3,6,1,18,41
3,5,1,5,2,9,4,6,3,3,6,8,1,4,4,3,9,2,2,3,1,2,2,3,6,10,16,31
7,5,2,5,3,6,4,3,8,3,6,2,1,1,4,3,9,1,1,3,2,1,1,3,6,13,18,21
